source_deposit,LABEL,LONGITUDE,LATITUDE,SOURCE,PROVINCEID,OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES
,0,138.43955144002675,-28.97198020502167,blank_area,GA.GeologicProvince.529801,,,,
,0,115.672,-31.43500000000004,other_deposit,,Military Rd Yanchep / WA Limestone,Mine - Openpit,WA,Limestone
,0,127.53702961630307,-27.550578179843654,blank_area,GA.GeologicProvince.576176,,,,
,0,119.9114,-22.05480000000003,other_deposit,,Bonnie East,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Alumina, Iron"
,0,145.57240000000002,-37.37640000000003,other_deposit,,Castella,mineral deposit,VIC,"Granite, Gravel"
,0,115.02049999999998,-30.032600000000023,other_deposit,,Green Head Limesand /  DBCA,mineral deposit,WA,Limesand
,0,142.27536132991972,-24.4074646677623,blank_area,GA.GeologicProvince.20489,,,,
,0,127.86990102816902,-26.02697265820448,blank_area,GA.GeologicProvince.467262,,,,
Moorilda,1,149.36750878277957,-33.60472944726515,positive,,,,,
Beaks Mountain,1,147.6210275215737,-19.98646757746281,positive,,,,,
,0,138.3609,-30.485499999999973,other_deposit,,STONE HUT WELL,MINE,SA,Manganese
,0,117.0627,-21.238400000000013,other_deposit,,Borrow Pit BP81 L47/228,mineral deposit,WA,Gravel
,0,150.957,-23.876499999999982,other_deposit,,EAST END,OPERATING MINE,QLD,"Limestone, Clay"
,0,119.9917,-33.4584,other_deposit,,Newdegate-Ravensthorpe Rd Lot 1337 / Main Roads,mineral deposit,WA,Gravel
Kelly,1,119.88408291554056,-21.770680192680867,positive,,,,,
,0,115.3465,-28.61140000000002,other_deposit,,Tenindewa (70),mineral deposit,WA,"Manganese ore, Manganese"
Rosevale,1,147.40594427591492,-34.30059540421646,positive,,,,,
Dogwood,1,147.97302249207206,-37.62357793686485,positive,,,,,
,0,128.9389685064458,-30.071406774117,blank_area,GA.GeologicProvince.22115,,,,
,0,130.4533959868311,-17.27207681208463,blank_area,GA.GeologicProvince.467208,,,,
Brazen,1,148.02026530119397,-32.92432387362264,positive,,,,,
Yeppoon,1,150.71277232531773,-23.00565022693108,positive,,,,,
Cargo,1,148.79775628347102,-33.43620330764771,positive,,,,,
,0,137.9905,-30.117599999999992,other_deposit,,WITCHELINA,DEPOSIT,SA,"Magnesite, Magnesia (magnesium oxide)"
,0,117.00860000000002,-27.6533,other_deposit,,Melangata Dimension Stone Environmental Group,mineral deposit,WA,"Unspecified/Unknown, Dimension stone"
,0,133.15762462654618,-23.29626700152099,blank_area,GA.GeologicProvince.364771,,,,
,0,144.22386364948625,-22.468591649875567,blank_area,GA.GeologicProvince.20489,,,,
,0,140.6684851326378,-27.434166769082925,blank_area,GA.GeologicProvince.20489,,,,
Mount Darcy,1,143.2558778020305,-18.2493543080407,positive,,,,,
,0,123.0045,-27.251100000000005,other_deposit,,Lake Wells Central Potash / AP,mineral deposit,WA,Potassium
,0,117.3906,-30.94810000000001,other_deposit,,Lake Cowcowing North,mineral deposit,WA,Gypsum
,0,131.05558177729563,-20.09413594878934,blank_area,GA.GeologicProvince.468269,,,,
Gooleys,1,149.04168535401678,-33.53231486683812,positive,,,,,
,0,118.689,-22.88920000000002,other_deposit,,Railway-Railink / United Minerals,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Alumina, Iron"
Town Creek,1,146.7753705724616,-20.441758488103872,positive,,,,,
Kelly,1,119.87179604467192,-21.81820173944952,positive,,,,,
,0,129.97457732004762,-16.75377329482931,blank_area,GA.GeologicProvince.467208,,,,
,0,136.82270855474516,-23.42200494958889,blank_area,GA.GeologicProvince.468269,,,,
Mt. Poole,1,152.41087374540123,-29.833115530591325,positive,,,,,
,0,113.9822,-23.67910000000003,other_deposit,,Gnargoo Range 3,mineral deposit,WA,Limestone
Racecourse (Bushranger),1,149.69667217133335,-33.85900104550848,positive,,,,,
,0,132.0766046832378,-23.713631844393355,blank_area,GA.GeologicProvince.364772,,,,
,0,139.3507,-34.45250000000001,other_deposit,,ANNA,DEPOSIT,SA,Coal - undifferentiated
,0,116.7605,-22.308099999999968,other_deposit,,Zorb,Deposit - Unspecified,WA,"Alumina, Unspecified/Unknown, Phosphorus, Iron"
,0,115.70080000000002,-22.92790000000005,other_deposit,,White Rocks Quarry 2 - White Rocks White,mineral deposit,WA,"Marble, Dimension stone"
Titov,1,146.7006251137056,-20.02463042671397,positive,,,,,
Greenvale Project (Cockie Creek deposit),1,144.7396054300603,-19.066638303209203,positive,,,,,
,0,118.0469,-34.97669999999999,other_deposit,,Nanarup Road Lots 101 and A7 Nanarup / Nanarup AgLime,mineral deposit,WA,Limestone
Town Creek,1,146.76346147140697,-20.43734201822575,positive,,,,,
Kiwi Carpet,1,150.89374740816555,-24.682929449080724,positive,,,,,
Kitticoola,1,139.12860791580758,-34.83431886920394,positive,,,,,
Marsden,1,147.59095302449276,-33.75681641411677,positive,,,,,
Dogwood,1,148.00282356914576,-37.55176850413125,positive,,,,,
Mt. Leslie,1,140.15418193043152,-20.351412116470783,positive,,,,,
Moonmera,1,150.3703255449643,-23.60332304869165,positive,,,,,
,0,137.72563948746082,-21.122642771391817,blank_area,GA.GeologicProvince.529556,,,,
Boddington,1,116.38213715764113,-32.721407107344625,positive,,,,,
,0,133.06474947054355,-25.566679174328645,blank_area,GA.GeologicProvince.466901,,,,
,0,135.8449,-34.72250000000004,other_deposit,,LOMAX,DEPOSIT,SA,"Uranium, Uranium oxide"
Mount Turner,1,143.37276456401986,-18.251918059221826,positive,,,,,
Gooleys,1,149.0827339424646,-33.557695628443106,positive,,,,,
Ben Mohr,1,148.89824293854906,-21.258871399901015,positive,,,,,
,0,120.8848,-22.016500000000043,other_deposit,,Honey Bee 1,mineral deposit,WA,"Manganese, Iron"
,0,126.5382700495708,-18.36054527032195,blank_area,GA.GeologicProvince.468269,,,,
,0,142.533,-27.251200000000004,other_deposit,,ALRUS ONE,OPERATING MINE,QLD,Opal
,0,131.8893132316705,-20.062510043101632,blank_area,GA.GeologicProvince.468041,,,,
,0,149.5153195532467,-30.560673758043173,blank_area,GA.GeologicProvince.27354,,,,
Endeavour E-28,1,148.04896238913523,-32.93261349729683,positive,,,,,
Briggs,1,150.71933416451446,-23.95924525102732,positive,,,,,
,0,146.0803,-17.755699999999997,other_deposit,,STEPHENSON RD (SUBLOO),OPERATING MINE,QLD,Gravel
Tartana project,1,144.26799182706387,-16.934886647973695,positive,,,,,
,0,134.10864951277816,-23.481475616555013,blank_area,GA.GeologicProvince.466901,,,,
,0,121.6238,-30.5707,other_deposit,,Breakaways Alunite,mineral deposit,WA,Alunite
,0,128.16894081040112,-22.060508871867697,blank_area,GA.GeologicProvince.364771,,,,
Yiddah,1,147.30436477463172,-34.04982048573674,positive,,,,,
Halls Creek (Bommie deposit),1,127.51661791699128,-18.452580853448737,positive,,,,,
,0,117.72,-32.38450000000002,other_deposit,,Smiths - Jubuk,mineral deposit,WA,Kaolin
,0,117.09090000000002,-20.688899999999997,other_deposit,,Mt Anketell A,mineral deposit,WA,"Iron, Magnetite"
,0,139.0642,-35.101900000000015,other_deposit,,WEGENERS,deposit,SA,Sand - undifferentiated
,0,116.6552,-31.3091,other_deposit,,Goomalling,mineral deposit,WA,"Clay, Kaolin"
Cadia Hill-Cadia Quarry,1,148.9999705522587,-33.44302505334764,positive,,,,,
,0,136.21548360370736,-22.38838670472526,blank_area,GA.GeologicProvince.467256,,,,
,0,119.54720000000002,-21.5276,other_deposit,,Hartigans,mineral deposit,WA,"Tantalum pentoxide, Tin oxide/cassiterite, Tantalum"
,0,121.85994798033607,-22.766053510310687,blank_area,GA.GeologicProvince.466191,,,,
Gibraltar Rock,1,152.3906317968117,-26.112066034139847,positive,,,,,
,0,150.4439,-23.16119999999998,other_deposit,,CAVES,OPERATING MINE,QLD,Unspecified/Unknown
Kiwi Carpet,1,150.87197121489126,-24.66267624089244,positive,,,,,
Struck Oil,1,150.46168463469888,-23.576029594618152,positive,,,,,
,0,138.2388283551191,-23.697809143342543,blank_area,GA.GeologicProvince.529302,,,,
,0,115.3589,-22.77450000000001,other_deposit,,Uaroo 10,mineral deposit,WA,Lead
,0,134.58272526293393,-18.356786317620276,blank_area,GA.GeologicProvince.529556,,,,
,0,122.2255,-17.84830000000001,other_deposit,,Coconut Wells Old,mineral deposit,WA,"Gravel, Aggregate - undifferentiated"
,0,119.5881,-20.852900000000016,other_deposit,,Pear Creek Chert,mineral deposit,WA,Chert
Kangiara,1,148.770771731622,-34.6464550738812,positive,,,,,
,0,124.44648670782956,-23.043149540511752,blank_area,GA.GeologicProvince.468269,,,,
,0,138.3371,-34.50819999999998,other_deposit,,PORT PRIME,MINE,SA,"Sea shells / shell grit, Limestone"
,0,135.74822693540196,-18.72442303836677,blank_area,GA.GeologicProvince.529556,,,,
Ridgeway,1,148.95076457385784,-33.43449401797886,positive,,,,,
Copper Hills,1,119.95396530323374,-21.67768033762817,positive,,,,,
,0,139.4956,-30.151600000000023,other_deposit,,FOUR MILE WEST,deposit,SA,"Uranium, Uranium oxide"
,0,143.0681,-35.92830000000004,other_deposit,,Birne,mineral deposit,VIC,"Ilmenite, Leucoxene, Monazite, Rutile, Xenotime, Zircon"
Ruddygore,1,144.53440985736333,-17.111678511039376,positive,,,,,
,0,136.8708257954599,-21.60197746165435,blank_area,GA.GeologicProvince.529556,,,,
,0,136.95164248727292,-25.77508834246622,blank_area,GA.GeologicProvince.529302,,,,
Kingswood,1,148.02926222727567,-32.37819039785966,positive,,,,,
,0,139.384,-34.31099999999997,other_deposit,,CRAIGIE PLAINS NO.2,deposit,SA,Gypsum
,0,142.0121323613915,-33.2704243565742,blank_area,GA.GeologicProvince.550808,,,,
,0,147.01788748458483,-27.42050668639298,blank_area,GA.GeologicProvince.27354,,,,
,0,121.2442,-30.766599999999997,other_deposit,,White Foil North Borrow Pit,mineral deposit,WA,Gravel
,0,148.86103149326888,-22.69585815638661,blank_area,GA.GeologicProvince.449962,,,,
Greenvale Project (Cockie Creek deposit),1,144.76798354606314,-19.09467699024995,positive,,,,,
,0,138.72040000000004,-33.8815,other_deposit,,MELROSE FARM,deposit,SA,Clay
Riverhead,1,150.7286973153959,-24.05673353487234,positive,,,,,
,0,149.33599139989656,-24.93857399737376,blank_area,GA.GeologicProvince.530059,,,,
,0,115.41552897193507,-25.609713855324188,blank_area,GA.GeologicProvince.464192,,,,
Waitara,1,148.82172730896266,-21.846854451995817,positive,,,,,
,0,131.96515391092643,-15.42622302564823,blank_area,GA.GeologicProvince.557149,,,,
Moorilda,1,149.3666493631209,-33.6106551484,positive,,,,,
,0,119.266,-30.018400000000018,other_deposit,,Windarling Range Group,mineral deposit,WA,"Phosphorus, Iron"
,0,127.72961245577189,-27.03490040161517,blank_area,GA.GeologicProvince.22115,,,,
Bank,1,146.7447508275128,-20.131544806564023,positive,,,,,
,0,125.7959,-14.806800000000036,other_deposit,,South Plateau 2,mineral deposit,WA,Bauxite
,0,136.8502570846716,-26.0239355258099,blank_area,GA.GeologicProvince.529551,,,,
Struck Oil,1,150.47761238075455,-23.599305479375925,positive,,,,,
,0,121.7185,-24.533500000000025,other_deposit,,Lake Aerodrome NW Potash - Beyondie,mineral deposit,WA,Potassium
,0,141.39186136685387,-20.408144905915016,blank_area,GA.GeologicProvince.559204,,,,
Yeoval,1,148.61575343611844,-32.71835122629893,positive,,,,,
Central Cowal,1,147.47758525941214,-33.644492481418986,positive,,,,,
Cargo,1,148.79226392494243,-33.44034724797456,positive,,,,,
Hopetoun,1,147.98725720350143,-32.98986207668035,positive,,,,,
Beaks Mountain,1,147.58112421893244,-19.968254388724723,positive,,,,,
Bowen Park,1,148.878787174105,-33.32542786538363,positive,,,,,
Mandamah,1,147.32997902953431,-34.16600414910325,positive,,,,,
,0,123.62095194384476,-26.240053154956684,blank_area,GA.GeologicProvince.464632,,,,
Dimbulah,1,145.073684893959,-17.21316859936778,positive,,,,,
,0,146.10808872162198,-29.82114620105605,blank_area,GA.GeologicProvince.20489,,,,
,0,148.6973073166727,-31.56543181618023,blank_area,GA.GeologicProvince.27354,,,,
,0,132.0521,-29.675799999999963,other_deposit,,SHERRIN,deposit,SA,Heavy minerals
Estoril,1,147.41326859959102,-34.24064812527004,positive,,,,,
