source_deposit,LABEL,LONGITUDE,LATITUDE,PROVINCEID
,0,137.8366468236062,-27.7791436049844,GA.GeologicProvince.529302
,0,136.41752233294304,-21.826658761183797,GA.GeologicProvince.529556
,0,131.8893132316705,-20.062510043101632,GA.GeologicProvince.468041
Barrabas Creek,1,146.77939504412498,-20.11560251656321,
,0,137.82283390865516,-21.449142220922106,GA.GeologicProvince.529556
,0,130.91190529143316,-19.69092452363383,GA.GeologicProvince.468269
,0,137.11020744985677,-26.070942599807317,GA.GeologicProvince.529551
,0,142.3827526583124,-29.33844416452016,GA.GeologicProvince.529801
Marsden,1,147.53191270699168,-33.736869443977206,
,0,131.1851123695443,-15.37552476969068,GA.GeologicProvince.468269
,0,133.82027505670914,-26.139777591394303,GA.GeologicProvince.467262
,0,132.50610481430292,-22.554355934214023,GA.GeologicProvince.576273
Mount Darcy,1,143.24975574397277,-18.243867443462705,
Chicane,1,147.3710027836005,-34.26128091602609,
Dairy Hill,1,148.86966543231316,-33.26153128307574,
,0,129.46213528041645,-15.273422987112996,GA.GeologicProvince.468269
Struck Oil,1,150.47474905203484,-23.639893256021544,
,0,124.72024001936084,-23.2740565346954,GA.GeologicProvince.466901
,0,123.24859669828896,-22.58007782266215,GA.GeologicProvince.576229
,0,147.2491927309973,-26.55453420722171,GA.GeologicProvince.20489
,0,145.43219896007497,-29.604342716233628,GA.GeologicProvince.20489
Dogwood,1,148.01390405331307,-37.5967706035762,
,0,146.94068529487473,-23.28904829459396,GA.GeologicProvince.20489
Titov,1,146.70933011604757,-19.9722612087161,
,0,125.43194013938638,-26.53925225025654,GA.GeologicProvince.466901
Kangaroo Hill,1,147.38633866417726,-34.08591904616376,
,0,137.41695531928417,-20.607915626007397,GA.GeologicProvince.551269
Veedas,1,147.98214604881775,-32.88688518980407,
,0,126.73583261357646,-16.77733394424652,GA.GeologicProvince.468269
Mount Angelo,1,127.51397693343964,-18.413156388268888,
Riverhead,1,150.76049982776246,-24.03780117391296,
,0,140.75668818653762,-30.19386333548485,GA.GeologicProvince.20331
,0,137.752747607999,-22.8708339350317,GA.GeologicProvince.467256
,0,134.4803442702065,-17.561993794445577,GA.GeologicProvince.529556
Sunday Creek,1,148.48938165923403,-37.51679485309357,
Carangera,1,149.2274913081061,-33.32267043235944,
,0,146.21430663276286,-21.90344137025429,GA.GeologicProvince.20489
,0,130.87361331525622,-20.853332247520274,GA.GeologicProvince.576288
,0,144.47049488307908,-32.079499057701234,GA.GeologicProvince.530359
,0,125.93248690529208,-19.90826512192401,GA.GeologicProvince.468269
Mount Abbot,1,147.98357212863155,-20.19381332680679,
,0,139.36066066766136,-21.569397622541317,GA.GeologicProvince.559196
,0,139.04090007053935,-29.002767766333037,GA.GeologicProvince.20489
,0,137.57832160224848,-18.63147374112516,GA.GeologicProvince.468269
,0,132.88392796986247,-16.78357996936953,GA.GeologicProvince.22109
,0,135.3705219214106,-26.08113393727096,GA.GeologicProvince.466901
,0,135.85221306877185,-30.54328210056109,GA.GeologicProvince.513114
,0,138.7653805882522,-24.583628556312835,GA.GeologicProvince.467256
,0,147.18759204382772,-32.52566575100622,GA.GeologicProvince.559178
,0,129.9708032344556,-19.405910392932263,GA.GeologicProvince.467208
,0,131.6610876802896,-15.293568108781212,GA.GeologicProvince.468269
Bodangora,1,148.9607496663008,-32.46941495250684,
Anabama Hill,1,140.18437492262987,-32.710200136264824,
Struck Oil,1,150.486694476349,-23.62705139037817,
,0,132.0846863211166,-19.29461437631536,GA.GeologicProvince.468269
,0,124.1285506238179,-24.792348158245456,GA.GeologicProvince.466191
,0,131.1155659907485,-27.003100758233263,GA.GeologicProvince.467262
,0,136.56384264496003,-29.15271623233032,GA.GeologicProvince.529302
,0,146.66900978171554,-24.126296193788047,GA.GeologicProvince.20489
,0,145.47941275465217,-22.11294787594174,GA.GeologicProvince.550790
,0,142.22735664999388,-25.55346675955488,GA.GeologicProvince.20489
,0,142.27536132991972,-24.4074646677623,GA.GeologicProvince.20489
,0,124.50409330398872,-21.55959449379352,GA.GeologicProvince.468269
Mt. Leslie,1,140.1683629049633,-20.34139685998348,
Copper Hill,1,148.87585163113076,-33.053074715623175,
,0,142.3323610814765,-28.100696146566737,GA.GeologicProvince.20489
,0,139.46889553134622,-26.951720657339678,GA.GeologicProvince.529302
,0,137.05680385846676,-25.647084762062946,GA.GeologicProvince.529549
,0,128.50187366519094,-21.68269484042252,GA.GeologicProvince.467255
,0,124.22096616077532,-25.18901079049512,GA.GeologicProvince.22115
Hopetoun,1,148.0585360026212,-32.99782195101757,
,0,133.8330228703521,-16.072524917885694,GA.GeologicProvince.529556
,0,135.70509695835446,-23.68703065519867,GA.GeologicProvince.364771
Racecourse (Bushranger),1,149.6968161849068,-33.8508240970781,
,0,127.85722579511256,-23.915563986371826,GA.GeologicProvince.466901
Kiwi Carpet,1,150.9108632894537,-24.63862879287165,
,0,141.2087821263225,-29.234066201114643,GA.GeologicProvince.529801
,0,139.3777587468491,-28.95784038698516,GA.GeologicProvince.529302
,0,131.4500894297686,-27.903800276986683,GA.GeologicProvince.22115
,0,146.76609788884056,-25.26915013754727,GA.GeologicProvince.20489
,0,138.23795533467478,-25.41348221219825,GA.GeologicProvince.529302
,0,134.03977001725633,-22.039827926908718,GA.GeologicProvince.529556
,0,128.499280750625,-21.586532753030035,GA.GeologicProvince.467256
,0,138.1972126215778,-25.809302729164468,GA.GeologicProvince.529302
,0,127.21997582397076,-15.520753670237672,GA.GeologicProvince.467107
,0,134.3618780780589,-25.51618856867784,GA.GeologicProvince.466901
Calliope,1,151.2075411614958,-24.06680218675973,
,0,149.98614867039953,-28.88032035393282,GA.GeologicProvince.530059
,0,141.87071113799985,-30.68487389099016,GA.GeologicProvince.529302
,0,144.29382064103916,-22.511491697145164,GA.GeologicProvince.20489
,0,125.01888255829164,-27.748848692293468,GA.GeologicProvince.22115
,0,152.17467668931863,-31.356720811038723,GA.GeologicProvince.40540
,0,130.67213058323577,-14.468434503747686,GA.GeologicProvince.429252
Calgoa,1,152.25788499565164,-25.86816803994503,
,0,140.35905511999331,-25.800393204008007,GA.GeologicProvince.529302
,0,125.12059189584534,-21.43606700608615,GA.GeologicProvince.468269
,0,134.32465253622846,-27.29406261980364,GA.GeologicProvince.22115
Kangiara,1,148.76278272224087,-34.63934271197017,
Northparkes district (includes Endeavour -22 -26 -27 and -48),1,148.03955491230676,-32.93357800154151,
,0,124.10212754380905,-20.938693562074945,GA.GeologicProvince.468269
,0,141.92986317065058,-28.155731384806064,GA.GeologicProvince.529511
,0,144.28902839806312,-23.966502741929467,GA.GeologicProvince.20489
,0,124.1440599814648,-30.707962424158723,GA.GeologicProvince.556275
,0,131.27624780429045,-23.41754490140044,GA.GeologicProvince.467256
,0,138.3119107941711,-24.549866406299945,GA.GeologicProvince.467256
,0,141.2289087449066,-28.07255014486517,GA.GeologicProvince.529302
,0,143.4378492742866,-19.65503383497095,GA.GeologicProvince.20437
,0,146.9325828689501,-21.13775408012917,GA.GeologicProvince.449962
,0,132.25293388731765,-19.95502583357684,GA.GeologicProvince.468269
Northparkes district (includes Endeavour -22 -26 -27 and -48),1,147.9885349845091,-32.925980796705346,
,0,133.59460371693277,-23.60258596027096,GA.GeologicProvince.364771
,0,129.78146460666397,-26.09913672837449,GA.GeologicProvince.466901
Yeppoon,1,150.69355747785906,-22.993197854434936,
,0,146.5076453639264,-26.484200384122577,GA.GeologicProvince.529302
,0,123.6642169318352,-24.30486949050658,GA.GeologicProvince.22115
,0,149.18048723493172,-27.748810177380733,GA.GeologicProvince.530059
Tartana project,1,144.26799182706387,-16.934886647973695,
,0,131.75866799957507,-26.359535100954897,GA.GeologicProvince.466901
,0,132.34765692522677,-21.830959849197093,GA.GeologicProvince.467256
,0,145.59312874438746,-25.93054229508368,GA.GeologicProvince.550790
,0,145.4012101099342,-32.099686656301564,GA.GeologicProvince.529913
,0,142.41541304011346,-30.201798351419576,GA.GeologicProvince.529302
,0,140.8649771547654,-26.07139623118523,GA.GeologicProvince.529551
Monza,1,147.4134988752464,-34.24403128385767,
,0,134.04082776146663,-17.779937537650053,GA.GeologicProvince.529556
,0,132.70932712371686,-23.08145615052832,GA.GeologicProvince.467256
,0,116.7298084792374,-27.20720510091905,GA.GeologicProvince.464632
,0,121.86366736901476,-22.947103913601957,GA.GeologicProvince.468269
,0,126.13637012351651,-22.89243727966898,GA.GeologicProvince.466901
,0,132.00330044031503,-27.991489189087005,GA.GeologicProvince.22115
,0,134.13609393779402,-25.4971830814628,GA.GeologicProvince.22078
,0,134.26269895452552,-23.94159323586173,GA.GeologicProvince.467256
Kiwi Carpet,1,150.89374740816555,-24.682929449080724,
,0,143.45541733770713,-27.70396780214533,GA.GeologicProvince.20489
,0,146.16720801519435,-26.59745566647129,GA.GeologicProvince.20489
Netley Hill,1,140.02987092811364,-32.78511794020914,
,0,125.4041752868858,-26.928598952093804,GA.GeologicProvince.466902
,0,132.81540799870544,-19.417090565094583,GA.GeologicProvince.468269
,0,144.43028946813726,-19.43946132437797,GA.GeologicProvince.559174
,0,137.26455806075424,-22.916564718539,GA.GeologicProvince.468269
,0,122.05753039462334,-27.53118132584768,GA.GeologicProvince.464632
Greens Creek,1,147.46597265913374,-34.29298699645463,
,0,139.8712950587818,-23.87511031051024,GA.GeologicProvince.529302
,0,142.6829991520378,-25.313968895619137,GA.GeologicProvince.529801
Gooleys,1,149.08504522992055,-33.5130910854168,
,0,131.6588930760246,-24.692260994894955,GA.GeologicProvince.467256
,0,144.97896461840455,-30.535338649511992,GA.GeologicProvince.529302
,0,147.01788748458483,-27.42050668639298,GA.GeologicProvince.27354
,0,117.38136584844854,-24.46640359502968,GA.GeologicProvince.466901
,0,135.61560430836806,-30.96092829270628,GA.GeologicProvince.559177
,0,125.9104018846466,-17.533905789506065,GA.GeologicProvince.429253
,0,128.9389685064458,-30.071406774117,GA.GeologicProvince.22115
,0,135.74822693540196,-18.72442303836677,GA.GeologicProvince.529556
,0,135.60886131077712,-24.01892756073595,GA.GeologicProvince.364771
,0,137.86100567326957,-23.15900024206216,GA.GeologicProvince.364771
Brazen,1,148.0485951697059,-32.91736503551281,
,0,125.69630426505682,-28.592649455679062,GA.GeologicProvince.22115
,0,150.18177017071736,-29.45808980491767,GA.GeologicProvince.530059
,0,124.07833162853072,-22.881508275249924,GA.GeologicProvince.468269
Bank,1,146.7713052857204,-20.15048175477102,
Thursdays Gossan-Junction Reef (Victor 1 and Victor 2),1,142.6207790500703,-37.60363157019417,
,0,135.12218065031186,-21.458721979397534,GA.GeologicProvince.468265
,0,145.91611492166618,-21.104539390150187,GA.GeologicProvince.20489
,0,126.75508381562184,-24.683225040913847,GA.GeologicProvince.466191
,0,148.8915500634974,-31.49829280062637,GA.GeologicProvince.27354
,0,138.60091576221382,-22.362740503966545,GA.GeologicProvince.529556
Ridgeway,1,148.9532109526498,-33.42289524600988,
,0,133.60030397742202,-17.40344119655222,GA.GeologicProvince.529556
Mount Turner,1,143.41970332489393,-18.260409272575487,
Coppin Gap (Spinifex Ridge),1,120.11914129790668,-20.891433393973124,
,0,125.62521183961834,-27.32967239947619,GA.GeologicProvince.464632
,0,135.52412898212705,-22.154989984787992,GA.GeologicProvince.468269
,0,137.22140608629863,-26.43964849297404,GA.GeologicProvince.529801
,0,133.16806044885362,-18.30402586220224,GA.GeologicProvince.468043
